id	intConsecutivo	dtmh323setuptime	dtmh323connecttime	dtmh323disconnecttime	intIdFecha	intCodigoFecha	strNASIdentifier	intAcctSessionTime	intClientIPAddress	intNASIPAddress	strAcctTerminateCause	strCallingStationId	strCalledStationId	strAcmeFlowTypeaudioF	strAcmeFlowInRealmaudioF	intAcmeCallingPacketsaudio	intAcmeCallingRTPPacketsLostaudio	intAcmeCallingRTPAvgJitterAudio	intAcmeCallingRTPMaxJitteraudio	intSASCallingFactorRAudio	intSASCalledFactorRAudio	strAcmeSessionIngressRealm	strAcmeSessionEgressRealm	strAcmeSessionProtocolType	intAcmeCalledPacketsaudio	intAcmeCalledRTPPacketsLostaudio	intAcmeCalledRTPAvgJitterAudio	intAcmeCalledRTPMaxJitteraudio	strAcmeFirmwareVersion	intAcmeCallingPacketsvideo	intAcmeCallingRTPPacketsLostvideo	intAcmeCallingRTPAvgJittervideo	intAcmeCallingRTPMaxJittervideo	intAcmeCalledPacketsvideo	intAcmeCalledRTPPacketsLostvideo	intAcmeCalledRTPAvgJittervideo	intAcmeCalledRTPMaxJittervideo	intSASCallingFactorRRTpAudio	intModalidad	intCodigoGeografia	Count_intAcmeCallingRTPAvgJitterAudio	Count_intSASCallingFactorRaudio	Count_intSASCalledFactorRaudio	Count_intAcmeCalledRTPAvgJitterAudio	Count_intAcmeCallingRTPAvgJittervideo	Count_intAcmeCalledRTPAvgJittervideo	Count_intSASCallingFactorRRTPaudio	strAcctSessionId	intIdSAScallingdomain	intIdSAScalleddomain	intIdAcmeSipEstado	intIdSASIngressRemoteAddrIP	intIdSASEgressLocalAddrIP	intCodigoGeografia	strCodigoCiudad	strNombreCiudad	strCodigoDeptoEstado	strNombreDeptoEstado	strCodigoPais	strNombrePais	strNombreRegion	strTipo	strCiudadCapital	dtmFechaInicioVig	dtmFechaFinVig	dtmFechaModificacion	strEstado
1	707067734	2015-10-01 01:47:51.000	2015-10-01 01:48:00.000	2015-10-01 01:48:35.000	20151001	2457297	sbcmde03	35	0	0	User-Request	76047689	76909131	PCMU	core-oser	1770	0	0	2	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	1775	0	0	2	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	11278	0	1	1	0	0	0	1	gj6uu2c6ddcdku7i8kjc26uhgku2bvb7@SoftX3000	428	99	0	1	0	11278	7610	PIEDECUESTA	680	SANTANDER	48	COLOMBIA	ORIENTE	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707069295	2015-10-01 01:47:29.000	2015-10-01 01:47:44.000	2015-10-01 01:49:23.000	20151001	2457297	sbcmde03	99	0	0	User-Request	17956464	46085468	PCMU	core-huawei-4	4898	0	0	1	93,23619843	93,23619843	core-huawei-4	acc-slbmde-mde6300	SIP	4914	0	0	1	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10007	0	1	1	0	0	0	1	052e7035cfe20998b3f3d0e672286b95@SoftX3000	590	99	0	1	0	10007	1100	BOGOTA	110	SANTAFE DE BOGOTA D.C.	48	COLOMBIA	CUNDINAMARCA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707071023	2015-10-01 01:48:59.000	2015-10-01 01:49:06.000	2015-10-01 01:50:15.000	20151001	2457297	sbcmde03	69	0	0	User-Request	14938905	46099510	PCMU	acc-slbmde-mde6300	3445	0	0	3	93,23619843	93,23619843	acc-slbmde-mde6300	core-huawei-2	SIP	2332	0	3	40	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10007	0	1	1	1	0	0	1	30232d1cb7508432	26	72	0	1	0	10007	1100	BOGOTA	110	SANTAFE DE BOGOTA D.C.	48	COLOMBIA	CUNDINAMARCA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707071036	2015-10-01 01:48:59.000	2015-10-01 01:49:06.000	2015-10-01 01:50:16.000	20151001	2457297	sbcmde03	70	0	0	User-Request	14938905	46099510	PCMU	core-huawei-5	3445	0	0	3	93,23619843	93,23619843	core-huawei-5	acc-slbmde-mde6300	SIP	2354	0	3	40	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10007	0	1	1	1	0	0	1	6805cda6b75d4716fd67b3f593fd536b@SoftX3000	428	84	0	1	0	10007	1100	BOGOTA	110	SANTAFE DE BOGOTA D.C.	48	COLOMBIA	CUNDINAMARCA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707078256	2015-10-01 01:53:22.000	2015-10-01 01:53:39.000	2015-10-01 01:53:54.000	20151001	2457297	sbcmde03	15	0	0	User-Request	14938905	46099510	PCMU	acc-slbmde-mde6300	727	0	0	1	93,23619843	93,23619843	acc-slbmde-mde6300	core-huawei-2	SIP	389	0	4	26	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10007	0	1	1	1	0	0	1	535a79beed43b020	26	72	0	1	0	10007	1100	BOGOTA	110	SANTAFE DE BOGOTA D.C.	48	COLOMBIA	CUNDINAMARCA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707078286	2015-10-01 01:53:23.000	2015-10-01 01:53:39.000	2015-10-01 01:53:55.000	20151001	2457297	sbcmde03	16	0	0	User-Request	14938905	46099510	PCMU	core-huawei-5	727	0	0	1	93,23619843	93,23619843	core-huawei-5	acc-slbmde-mde6300	SIP	406	0	3	26	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10007	0	1	1	1	0	0	1	80ef32e1c69083ca4cf18bc8cceb5375@SoftX3000	428	84	0	1	0	10007	1100	BOGOTA	110	SANTAFE DE BOGOTA D.C.	48	COLOMBIA	CUNDINAMARCA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707082537	2015-10-01 01:47:03.000	2015-10-01 01:47:16.000	2015-10-01 01:55:48.000	20151001	2457297	sbcmde03	512	0	0	User-Request	22696048	23809641	PCMU	core-oser	25538	31	0	20	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	25558	2	0	20	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	90,63110352	1	10259	0	1	1	0	0	0	1	kgc8gvbbkd726c8k6hpc22it72ip6kd6@SoftX3000	428	99	0	1	0	10259	2501	JAMUNDI	760	VALLE DEL CAUCA	48	COLOMBIA	PACIFICO	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	708587535	2015-10-01 00:00:48.000	2015-10-01 00:00:48.000	2015-10-01 00:11:20.000	20151001	2457297	sbcmde02	632	0	0	User-Request	56424720	56424310	PCMU	core-lucia-1687	31655	0	0	20	93,23619843	93,23619843	core-lucia-1687	acc-lucia-1687	SIP	31356	1	0	3003	SCX6.3.7 MR-3 GA (WS Build 205)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	t6v28v7d2g8jjhjkig67hdd26dvb626i@SoftX3000	709	25	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	708588887	2015-10-01 00:10:51.000	2015-10-01 00:11:03.000	2015-10-01 00:11:46.000	20151001	2457297	sbcmde03	43	0	0	User-Request	56451702	56431154	PCMU	core-oser	2125	0	0	3	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	2123	0	0	20	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	cvkgpdghkjhkhhijgc2h2jvtg8ut6itc@SoftX3000	428	99	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	708591321	2015-10-01 00:11:19.000	2015-10-01 00:11:32.000	2015-10-01 00:12:30.000	20151001	2457297	sbcmde03	58	0	0	User-Request	53196264	53198309	PCMU	core-oser	2909	2	0	3	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	2553	0	0	8	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	91,74220276	1	10800	0	1	1	0	0	0	1	2kbdtthgcdpv6kpb6ui6tdg77djdddvk@SoftX3000	428	99	0	1	0	10800	5300	BARRANQUILLA	80	ATLANTICO	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
